window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787134274.642557,1787134274.7165568,1500,1787134274.717557,1787134274.741557,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787134274.642557,1787134274.741557,2000,1787134274.7425568,1787134274.766557,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787134274.642557,1787134274.766557,2500,1787134274.767557,1787134274.7915568,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787134274.642557,1787134274.7915568,3000,1787134274.792557,1787134274.816557,500,0.0,-1.924331241114487,-0.01924331241114487,0.9158734154229924,0.0,0.0,0.0,0,0,0,0.07813781074866534,0.0,{}
4,1787134274.642557,1787134274.816557,3500,1787134274.8175569,1787134274.8415568,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
5,1787134274.642557,1787134274.8415568,4000,1787134274.842557,1787134274.866557,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1787134274.642557,1787134274.866557,4500,1787134274.8675568,1787134274.891557,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787134274.642557,1787134274.891557,5000,1787134274.892557,1787134274.9165568,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787134274.642557,1787134274.9165568,5500,1787134274.917557,1787134274.941557,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787134274.642557,1787134274.941557,6000,1787134274.9425569,1787134274.9665568,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
