window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1786812415.4677207,1786812415.5417206,1500,1786812415.5427208,1786812415.5667207,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1786812415.4677207,1786812415.5667207,2000,1786812415.5677207,1786812415.5917208,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1786812415.4677207,1786812415.5917208,2500,1786812415.5927207,1786812415.6167207,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1786812415.4677207,1786812415.6167207,3000,1786812415.6177208,1786812415.6417208,500,-80.99317547766623,-137.64350114881563,-1.3764350114881563,2.339760961392124,0.14336115942588357,-10.454937267764064,0.27334133126417015,8,2,6,0.079709034240771,25.0,{}
4,1786812415.4677207,1786812415.6417208,3500,1786812415.6427207,1786812415.6667206,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
5,1786812415.4677207,1786812415.6667206,4000,1786812415.6677208,1786812415.6917207,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1786812415.4677207,1786812415.6917207,4500,1786812415.6927207,1786812415.7167208,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1786812415.4677207,1786812415.7167208,5000,1786812415.7177207,1786812415.7417207,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1786812415.4677207,1786812415.7417207,5500,1786812415.7427208,1786812415.7667208,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1786812415.4677207,1786812415.7667208,6000,1786812415.7677207,1786812415.7917206,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
