window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787134991.7559416,1787134991.8299415,1500,1787134991.8309417,1787134991.8549416,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787134991.7559416,1787134991.8549416,2000,1787134991.8559415,1787134991.8799417,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787134991.7559416,1787134991.8799417,2500,1787134991.8809416,1787134991.9049416,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787134991.7559416,1787134991.9049416,3000,1787134991.9059417,1787134991.9299417,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
4,1787134991.7559416,1787134991.9299417,3500,1787134991.9309416,1787134991.9549415,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
5,1787134991.7559416,1787134991.9549415,4000,1787134991.9559417,1787134991.9799416,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1787134991.7559416,1787134991.9799416,4500,1787134991.9809415,1787134992.0049417,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787134991.7559416,1787134992.0049417,5000,1787134992.0059416,1787134992.0299416,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787134991.7559416,1787134992.0299416,5500,1787134992.0309417,1787134992.0549417,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787134991.7559416,1787134992.0549417,6000,1787134992.0559416,1787134992.0799415,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
