window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787125646.6377583,1787125646.7117581,1500,1787125646.7127583,1787125646.7367582,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787125646.6377583,1787125646.7367582,2000,1787125646.7377582,1787125646.7617583,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787125646.6377583,1787125646.7617583,2500,1787125646.7627583,1787125646.7867582,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787125646.6377583,1787125646.7867582,3000,1787125646.7877584,1787125646.8117583,500,0.0,-1.924331241114487,-0.01924331241114487,0.9158734154229924,0.0,0.0,0.0,0,0,0,0.07813781074866534,0.0,{}
4,1787125646.6377583,1787125646.8117583,3500,1787125646.8127582,1787125646.8367581,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
5,1787125646.6377583,1787125646.8367581,4000,1787125646.8377583,1787125646.8617582,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1787125646.6377583,1787125646.8617582,4500,1787125646.8627582,1787125646.8867583,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787125646.6377583,1787125646.8867583,5000,1787125646.8877583,1787125646.9117582,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787125646.6377583,1787125646.9117582,5500,1787125646.9127584,1787125646.9367583,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787125646.6377583,1787125646.9367583,6000,1787125646.9377582,1787125646.9617581,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
