window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787742400.7807055,1787742400.8547053,1500,1787742400.8557055,1787742400.8797054,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787742400.7807055,1787742400.8797054,2000,1787742400.8807054,1787742400.9047055,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787742400.7807055,1787742400.9047055,2500,1787742400.9057055,1787742400.9297054,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787742400.7807055,1787742400.9297054,3000,1787742400.9307055,1787742400.9547055,500,-80.99317547766623,-137.64350114881563,-1.3764350114881563,2.339760961392124,0.14336115942588357,-10.454937267764064,0.27334133126417015,8,2,6,0.079709034240771,25.0,{}
4,1787742400.7807055,1787742400.9547055,3500,1787742400.9557054,1787742400.9797053,500,0.0,-70.5698047604019,-0.7056980476040189,1.4925571045233783,0.3785719471365731,-4.429906071596304,0.25626393059205216,7,3,4,0.08328871660009712,42.857142857142854,{}
5,1787742400.7807055,1787742400.9797053,4000,1787742400.9807055,1787742401.0047054,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1787742400.7807055,1787742401.0047054,4500,1787742401.0057054,1787742401.0297055,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787742400.7807055,1787742401.0297055,5000,1787742401.0307055,1787742401.0547054,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787742400.7807055,1787742401.0547054,5500,1787742401.0557055,1787742401.0797055,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787742400.7807055,1787742401.0797055,6000,1787742401.0807054,1787742401.1047053,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
