window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787743814.664957,1787743814.738957,1500,1787743814.739957,1787743814.763957,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787743814.664957,1787743814.763957,2000,1787743814.764957,1787743814.788957,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787743814.664957,1787743814.788957,2500,1787743814.789957,1787743814.813957,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787743814.664957,1787743814.813957,3000,1787743814.8149571,1787743814.838957,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
4,1787743814.664957,1787743814.838957,3500,1787743814.839957,1787743814.863957,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
5,1787743814.664957,1787743814.863957,4000,1787743814.864957,1787743814.888957,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1787743814.664957,1787743814.888957,4500,1787743814.889957,1787743814.913957,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787743814.664957,1787743814.913957,5000,1787743814.914957,1787743814.938957,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787743814.664957,1787743814.938957,5500,1787743814.9399571,1787743814.963957,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787743814.664957,1787743814.963957,6000,1787743814.964957,1787743814.988957,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
