window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787741136.7324579,1787741136.8064578,1500,1787741136.807458,1787741136.8314579,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787741136.7324579,1787741136.8314579,2000,1787741136.8324578,1787741136.856458,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787741136.7324579,1787741136.856458,2500,1787741136.8574579,1787741136.8814578,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787741136.7324579,1787741136.8814578,3000,1787741136.882458,1787741136.906458,500,-80.99317547766623,-137.64350114881563,-1.3764350114881563,2.339760961392124,0.14336115942588357,-10.454937267764064,0.27334133126417015,8,2,6,0.079709034240771,25.0,{}
4,1787741136.7324579,1787741136.906458,3500,1787741136.9074578,1787741136.9314578,500,-42.14470118052304,-158.72945453087414,-1.5872945453087415,1.9427574823979314,0.2537895680883176,-8.362721839875318,0.26252711086120706,11,4,7,0.08045301282798784,36.36363636363637,{}
5,1787741136.7324579,1787741136.9314578,4000,1787741136.932458,1787741136.9564579,500,0.0,-21.313997923361967,-0.21313997923361966,1.8834448722990826,0.488711898617499,-2.231852805280688,0.26653807878951036,3,1,2,0.07986433232703918,33.33333333333333,{}
6,1787741136.7324579,1787741136.9564579,4500,1787741136.9574578,1787741136.981458,500,0.0,-27.78268738375482,-0.27782687383754817,0.5607685760483303,0.0,0.0,0.0,0,0,0,0.07560848242013737,0.0,{}
7,1787741136.7324579,1787741136.981458,5000,1787741136.9824579,1787741137.0064578,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787741136.7324579,1787741137.0064578,5500,1787741137.007458,1787741137.031458,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787741136.7324579,1787741137.031458,6000,1787741137.0324578,1787741137.0564578,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
