window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787742668.7700338,1787742668.8440337,1500,1787742668.845034,1787742668.8690338,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787742668.7700338,1787742668.8690338,2000,1787742668.8700337,1787742668.894034,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787742668.7700338,1787742668.894034,2500,1787742668.8950338,1787742668.9190338,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787742668.7700338,1787742668.9190338,3000,1787742668.920034,1787742668.9440339,500,0.0,-4.307449062544038,-0.04307449062544037,0.3737077743008506,0.0,0.0,0.0,0,0,0,0.07790882203050625,0.0,{}
4,1787742668.7700338,1787742668.9440339,3500,1787742668.9450338,1787742668.9690337,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
5,1787742668.7700338,1787742668.9690337,4000,1787742668.970034,1787742668.9940338,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1787742668.7700338,1787742668.9940338,4500,1787742668.9950337,1787742669.019034,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787742668.7700338,1787742669.019034,5000,1787742669.0200338,1787742669.0440338,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787742668.7700338,1787742669.0440338,5500,1787742669.045034,1787742669.0690339,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787742668.7700338,1787742669.0690339,6000,1787742669.0700338,1787742669.0940337,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
