window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787763304.9624152,1787763305.036415,1500,1787763305.0374153,1787763305.0614152,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787763304.9624152,1787763305.0614152,2000,1787763305.0624151,1787763305.0864153,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787763304.9624152,1787763305.0864153,2500,1787763305.0874152,1787763305.1114151,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787763304.9624152,1787763305.1114151,3000,1787763305.1124153,1787763305.1364152,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
4,1787763304.9624152,1787763305.1364152,3500,1787763305.1374152,1787763305.161415,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
5,1787763304.9624152,1787763305.161415,4000,1787763305.1624153,1787763305.1864152,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
6,1787763304.9624152,1787763305.1864152,4500,1787763305.1874151,1787763305.2114153,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
7,1787763304.9624152,1787763305.2114153,5000,1787763305.2124152,1787763305.2364151,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
8,1787763304.9624152,1787763305.2364151,5500,1787763305.2374153,1787763305.2614152,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
9,1787763304.9624152,1787763305.2614152,6000,1787763305.2624152,1787763305.286415,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
